Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Peso_Local,avg_Goles_esperados_(xG)_total_Local,avg_Tarjetas_amarillas_total_Local,avg_Faltas_total_Local,avg_Remates_a_puerta_3_Local,avg_Córneres_3_Local,avg_Tarjetas_amarillas_3_Local,avg_Faltas_3_Local,avg_Paradas_3_Local,avg_Pases_Pct_3_Local,avg_Pases_Exitosos_3_Local,avg_Paradas_Share_3_Local,Peso_Visitante,Resultado_1X2,avg_Goles_esperados_(xG)_total_Visitante,avg_Tarjetas_amarillas_total_Visitante,avg_Faltas_total_Visitante,avg_Pases_Pct_total_Visitante,avg_Remates_a_puerta_3_Visitante,avg_Córneres_3_Visitante,avg_Tarjetas_amarillas_3_Visitante,avg_Faltas_3_Visitante,avg_Paradas_3_Visitante,avg_Pases_Exitosos_3_Visitante,avg_Goles_3_Visitante,avg_Ptos_3_Visitante,avg_Paradas_Share_3_Visitante,diff_avg_Tarjetas_amarillas_total,diff_avg_Faltas_total,diff_avg_Remates_a_puerta_3,diff_avg_Córneres_3,diff_avg_Tarjetas_amarillas_3,diff_avg_Faltas_3,diff_avg_Paradas_3,diff_avg_Pases_Pct_3,diff_avg_Pases_Exitosos_3,diff_Puntos,Prob_Implicita_ELO,diff_Tier,diff_Valor_Mercado
2021-03-24,Bélgica,Gales,3.0,1.0,1.0,,,,,,,,,,,,0.975,1,,,,,,,,,,,,,,,,,,,,,,,218.0,0.7781484542191325,-2,14.369999999999997
2021-03-24,Eslovenia,Croacia,1.0,0.0,0.7050000000000001,,,,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,-238.0,0.20261368597229626,2,-10.88
2021-03-24,Estonia,República Checa,2.0,6.0,0.735,,,,,,,,,,,,1.0,2,,,,,,,,,,,,,,,,,,,,,,,-276.0,0.1695550886467628,0,-6.7250000000000005
2021-03-24,Finlandia,Bosnia-Herzegovina,2.0,2.0,0.7150000000000001,,,,,,,,,,,,1.0,X,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5014391117091528,0,-4.08
2021-03-24,Turquía,Países Bajos,4.0,2.0,1.0,,,,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,-122.0,0.33130504369266833,2,-10.790000000000003
2021-03-24,Gibraltar,Noruega,0.0,3.0,0.735,,,,,,,,,,,,1.0,2,,,,,,,,,,,,,,,,,,,,,,,-562.0,0.03786483661488681,0,-22.617
2021-03-24,Portugal,Azerbaiyán,1.0,0.0,1.0,,,,,,,,,,,,0.695,1,,,,,,,,,,,,,,,,,,,,,,,482.0,0.94128855387098,-2,37.867000000000004
2021-03-24,Francia,Ucrania,1.0,1.0,1.0,,,,,,,,,,,,0.8899999999999999,X,,,,,,,,,,,,,,,,,,,,,,,234.0,0.7936407431881689,-2,48.699999999999996
2021-03-25,Alemania,Islandia,3.0,0.0,1.0,,,,,,,,,,,,0.6599999999999999,1,,,,,,,,,,,,,,,,,,,,,,,172.0,0.7291099628977525,-2,32.71
2021-03-25,Escocia,Austria,2.0,2.0,1.0,,,,,,,,,,,,1.0,X,,,,,,,,,,,,,,,,,,,,,,,-95.0,0.3665922999288324,1,-2.88
2021-03-25,España,Grecia,1.0,1.0,1.0,,,,,,,,,,,,0.805,X,,,,,,,,,,,,,,,,,,,,,,,232.0,0.7917488375081845,-2,36.010000000000005
2021-03-25,Suecia,Georgia,1.0,0.0,1.0,,,,,,,,,,,,0.9099999999999999,1,,,,,,,,,,,,,,,,,,,,,,,291.0,0.8422586724704255,-1,5.969999999999999
2021-03-25,Bulgaria,Suiza,1.0,3.0,0.72,,,,,,,,,,,,1.0,2,,,,,,,,,,,,,,,,,,,,,,,-243.0,0.19800335588556686,1,-11.59
2021-03-25,Inglaterra,San Marino,5.0,0.0,1.0,,,,,,,,,,,,0.7,1,,,,,,,,,,,,,,,,,,,,,,,860.0,0.9929703085603608,-2,52.192
2021-03-27,Países Bajos,Letonia,2.0,0.0,1.0,2.062,1.0,11.0,9.0,11.0,1.0,11.0,2.0,0.88,520.0,0.2222222222222222,0.6699999999999999,1,,,,,,,,,,,,,,,,,,,,,,,527.0,0.9540716351028596,-2,28.635
2021-03-27,Noruega,Turquía,0.0,3.0,1.0,3.529,1.0,16.0,13.0,14.0,1.0,16.0,0.0,0.89,695.0,0.0,1.0,2,1.2630000000000001,5.0,18.0,0.81,6.0,4.0,5.0,18.0,7.0,237.0,4.0,3.0,0.7777777777777778,-4.0,-2.0,7.0,10.0,-4.0,-2.0,-7.0,0.07999999999999996,458.0,-37.0,0.4469531048305375,0,4.470000000000002
