Equipo,Veces_Campeon,Probabilidad_Campeon_%
Alemania,129,12.9
España,115,11.5
Costa de Marfil,104,10.4
Sudáfrica,89,8.9
Portugal,85,8.5
Inglaterra,78,7.8
Bélgica,73,7.3
Francia,41,4.1000000000000005
Japón,34,3.4000000000000004
Suiza,32,3.2
Países Bajos,29,2.9000000000000004
Noruega,26,2.6
Brasil,25,2.5
México,23,2.3
Turquía,20,2.0
Corea del Sur,16,1.6
Argentina,15,1.5
Catar,11,1.0999999999999999
Suecia,10,1.0
Colombia,8,0.8
Bosnia-Herzegovina,7,0.7000000000000001
Marruecos,6,0.6
Ecuador,6,0.6
EE. UU.,6,0.6
Canadá,5,0.5
República Checa,3,0.3
Australia,3,0.3
Curazao,1,0.1
