Fase,Local,Visitante,Marcador_Predicho,Avanza,xG_L,xG_V,Detalle
Dieciseisavos de Final,Sudáfrica,Canadá,1-0,Sudáfrica,2.08,0.87,Tiempo regular
Dieciseisavos de Final,Brasil,Japón,1-2,Japón,1.44,1.15,Tiempo regular
Dieciseisavos de Final,Alemania,Paraguay,7-1,Alemania,2.36,0.58,Tiempo regular
Dieciseisavos de Final,Países Bajos,Marruecos,1-0,Países Bajos,1.53,0.9,Tiempo regular
Dieciseisavos de Final,Costa de Marfil,Noruega,4-1,Costa de Marfil,2.06,1.01,Tiempo regular
Dieciseisavos de Final,Francia,Suecia,1-0,Francia,1.43,0.81,Tiempo regular
Dieciseisavos de Final,México,República Checa,3-0,México,1.69,0.8,Tiempo regular
Dieciseisavos de Final,Argentina,Corea del Sur,1-1,Corea del Sur,1.63,0.92,Empate: avanza por penales
Dieciseisavos de Final,Bélgica,Catar,1-1,Catar,2.22,0.83,Empate: avanza por penales
Dieciseisavos de Final,EE. UU.,Bosnia-Herzegovina,2-2,EE. UU.,1.19,0.96,Empate: avanza por penales
Dieciseisavos de Final,España,Haití,1-1,España,2.55,0.73,Empate: avanza por penales
Dieciseisavos de Final,Inglaterra,Escocia,5-0,Inglaterra,2.81,0.69,Tiempo regular
Dieciseisavos de Final,Suiza,Curazao,2-0,Suiza,2.09,0.97,Tiempo regular
Dieciseisavos de Final,Portugal,Turquía,6-1,Portugal,2.15,1.12,Tiempo regular
Dieciseisavos de Final,Colombia,Australia,6-0,Colombia,1.5,1.07,Tiempo regular
Dieciseisavos de Final,Uruguay,Ecuador,1-0,Uruguay,1.61,1.03,Tiempo regular
Octavos de Final,Sudáfrica,Japón,1-1,Sudáfrica,1.63,1.03,Empate: avanza por penales
Octavos de Final,Alemania,Países Bajos,1-2,Países Bajos,2.15,1.23,Tiempo regular
Octavos de Final,Costa de Marfil,Francia,2-0,Costa de Marfil,1.63,0.97,Tiempo regular
Octavos de Final,México,Corea del Sur,0-0,México,1.04,0.81,Empate: avanza por penales
Octavos de Final,Catar,EE. UU.,1-1,Catar,1.56,0.88,Empate: avanza por penales
Octavos de Final,España,Inglaterra,2-1,España,1.31,1.07,Tiempo regular
Octavos de Final,Suiza,Portugal,1-1,Portugal,1.19,1.69,Empate: avanza por penales
Octavos de Final,Colombia,Uruguay,0-2,Uruguay,1.65,0.85,Tiempo regular
Cuartos de Final,Sudáfrica,Países Bajos,1-2,Países Bajos,1.85,1.08,Tiempo regular
Cuartos de Final,Costa de Marfil,México,4-1,Costa de Marfil,1.87,0.93,Tiempo regular
Cuartos de Final,Catar,España,0-0,España,0.97,1.38,Empate: avanza por penales
Cuartos de Final,Portugal,Uruguay,2-0,Portugal,2.07,0.79,Tiempo regular
Semifinales,Países Bajos,Costa de Marfil,2-2,Países Bajos,1.08,1.14,Empate: avanza por penales
Semifinales,España,Portugal,4-1,España,1.63,1.24,Tiempo regular
Gran Final,Países Bajos,España,0-1,España,0.97,1.1,Tiempo regular
